6/8/2018,Particular,BOLIVAR 2100
6/8/2018,Colectivo,AV. MAIPU 2400
10/8/2018,Particular,bolivar 2100
12/8/2018,Colectivo,PLAYON PUERTO
11/8/2018,Remisses,AV CHACABUCO 1541
17/8/2018,Transportes de Cargas,SAN MARTIN 600
17/8/2018,Remisses,AV. MAIPU 2500
20/8/2018,Colectivo,AV. MAIPU 50
21/8/2018,Particular,BOLIVAR 2163
22/8/2018,Particular,cordoba 314
22/8/2018,Particular,ESPAÑA 987
23/8/2018,Particular,PLACIDO MARTINEZ 1200
27/8/2018,Particular,salta 1480
29/8/2018,Remisses,AV. LIBERTAD 6697
5/9/2018,Particular,Bolivar 2189
5/9/2018,Particular,san juan 800
6/9/2018,Remisses,DARDO ROCHA 456
8/9/2018,Remisses,CHACABUCO 1500
8/9/2018,Particular,RIVADAVIA 715
8/9/2018,Particular,RIVADAVIA 717
10/9/2018,Remisses,LUGONES 497
17/9/2018,Colectivo,PLAYON DEL PUERTO
21/9/2018,Remisses,AV MAIPU 2400
23/9/2018,Remisses,PLAYON DEL PUERTO
22/9/2018,Remisses,MEDRANO2271
26/9/2018,Particular,SAN MARTIN 500
26/9/2018,Particular,SAN MARTIN 1300
28/9/2018,Particular,Placido Martinez 1000
11/10/2018,Colectivo,La Rioja y Junin
30/9/2018,Particular,PLAYON DEL PUERTO
2/10/2018,Particular,PLACIDO MARTINEZ 1000
3/10/2018,Particular,SAN LORENZO 800
3/10/2018,Particular,SAN MARTIN 1891
8/10/2018,Particular,MENDOZA 1011
8/10/2018,Particular,PLAYON DEL PUERTO
8/10/2018,Particular,CATAMARCA 300
9/10/2018,Particular,TUCUMAN Y COSTANERA
9/10/2018,Particular,SAN MARTIN 415
9/10/2018,Particular,F. J. DE LA QUINTANA 1100
10/10/2018,Particular,yrigoyen 2200
10/10/2018,Particular,SAN LUIS 745
10/10/2018,Colectivo,Cabecera Bº Ponce
11/10/2018,Particular,SAN MARTIN 1891
11/10/2018,Particular,P. MARTINEZ 900
11/10/2018,Colectivo,Yrigoyen 1600
12/10/2018,Colectivo,SANTA FE 900
13/10/2018,Colectivo,SALTA 800
13/10/2018,Colectivo,SALTA AL 800
13/10/2018,Colectivo,SALTA 800
13/10/2018,Colectivo,SALTA 800
13/10/2018,Colectivo,SALTA 800
14/10/2018,Colectivo,SALTA 800
14/10/2018,Colectivo,SALTA AL 800
16/10/2018,Particular,BOLIVAR 1998
16/10/2018,Particular,SANTA FE 935
16/10/2018,Particular,H. IRIGOYEN 1300
16/10/2018,Colectivo,Yrigoyen 1000
17/10/2018,Particular,SAN MARTIN 1841
18/10/2018,Particular,BUENOS AIRES 500
18/10/2018,Colectivo,Playon del Puerto
18/10/2018,Colectivo,PLAYON DEL PUERTO
18/10/2018,Colectivo,Roca 900
19/10/2018,Colectivo,LA RIOJA 800
19/10/2018,Colectivo,PLAYON DEL PUERTO
20/10/2018,Colectivo,J. VERA 1000
20/10/2018,Colectivo,PLAYON PUERTO
22/10/2018,Colectivo,Bolivar 2194
22/10/2018,Colectivo,Puerto Local
22/10/2018,Colectivo,Playon Puerto Local
22/10/2018,Colectivo,Playon del Puerto
22/10/2018,Colectivo,Playon del Puerto
23/10/2018,Colectivo,PLAYON DEL PUERTO
23/10/2018,Colectivo,PLAYON DEL PUERTO
23/10/2018,Colectivo,PLAYON DEL PUERTO
24/10/2018,Colectivo,PLAYON DEL PUERTO
24/10/2018,Particular,PLACIDO MARTINEZ 900
25/10/2018,Colectivo,Playon del Puerto Local
25/10/2018,Colectivo,PLAYON DEL PUERTO
25/10/2018,Colectivo,PLAYON DEL PUERTO
26/10/2018,Colectivo,PLAYON DEL PUERTO
26/10/2018,Colectivo,PLAYON PUERTO LOCAL
26/10/2018,Colectivo,PLAYON PUERTO LOCAL
